%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
14.73,BHAN SINGH BHAURA,BHATINDA (SC),3,CPI,M,PUNJAB,62639,435035,425144,607613,71.6
1.19,BILLU ALIAS VED PARKASH,BHATINDA (SC),4,IND,M,PUNJAB,5072,435035,425144,607613,71.6
1.01,CHET RAM,BHATINDA (SC),5,IND,M,PUNJAB,4296,435035,425144,607613,71.6
0.64,PRITAM KAUR TEJI,BHATINDA (SC),6,IND,F,PUNJAB,2720,435035,425144,607613,71.6
59.2,PARKASH SINGH,FARIDKOT,1,SAD,M,PUNJAB,282713,487098,477547,646094,75.39
38.11,AVTAR SINGH,FARIDKOT,2,INC,M,PUNJAB,182012,487098,477547,646094,75.39
2.07,JEETA RAM,FARIDKOT,3,IND,M,PUNJAB,9889,487098,477547,646094,75.39
0.61,HARI CHAND,FARIDKOT,4,IND,M,PUNJAB,2933,487098,477547,646094,75.39
87.83,MOHINDER SINGH SAYANWALA,FEROZEPUR,1,SAD,M,PUNJAB,179894,206656,204817,631895,32.7
7.79,MOHINDER SINGH GILL,FEROZEPUR,2,INC,M,PUNJAB,15955,206656,204817,631895,32.7
2.62,AVTAR SINGH MALHOTRA,FEROZEPUR,3,CPI,M,PUNJAB,5372,206656,204817,631895,32.7
1.4,I. B. FRANCIS,FEROZEPUR,4,IND,M,PUNJAB,2862,206656,204817,631895,32.7
0.2,MANOHAR LAL,FEROZEPUR,5,IND,M,PUNJAB,402,206656,204817,631895,32.7
0.16,MAKHAN SINGH,FEROZEPUR,6,IND,M,PUNJAB,332,206656,204817,631895,32.7
56.38,BEGA RAM,GANGANAGAR (SC),1,BLD,M,RAJASTHAN,204812,370934,363247,604428,61.37
38.39,BIRBAL,GANGANAGAR (SC),2,INC,M,RAJASTHAN,139457,370934,363247,604428,61.37
5.22,BUTA SINGH,GANGANAGAR (SC),3,IND,M,RAJASTHAN,18978,370934,363247,604428,61.37
61.1,HARI RAM MAKKASAR,BIKANER,1,BLD,M,RAJASTHAN,219436,368614,359159,675406,54.58
31.79,RAM CHANDRA CHOWDHARY,BIKANER,2,INC,M,RAJASTHAN,114192,368614,359159,675406,54.58
2.88,YOGENDRA NATH HANDA,BIKANER,3,CPI,M,RAJASTHAN,10361,368614,359159,675406,54.58
1.79,LAL KHAN,BIKANER,4,IND,M,RAJASTHAN,6422,368614,359159,675406,54.58
1.28,SAGAR MAL,BIKANER,5,IND,M,RAJASTHAN,4591,368614,359159,675406,54.58
0.6,DHARAM SINGH,BIKANER,6,IND,M,RAJASTHAN,2164,368614,359159,675406,54.58
0.55,BHANWAR LAL,BIKANER,7,IND,M,RAJASTHAN,1993,368614,359159,675406,54.58
69.99,DAULAT RAM,CHURU,1,BLD,M,RAJASTHAN,259592,378811,370895,621315,60.97
28.77,MOHAMMAD USMAN,CHURU,2,INC,M,RAJASTHAN,106701,378811,370895,621315,60.97
0.82,ALOK PRABHU,CHURU,3,IND,M,RAJASTHAN,3041,378811,370895,621315,60.97
0.42,MANGAL CHAND SONI,CHURU,4,IND,M,RAJASTHAN,1561,378811,370895,621315,60.97
64.64,KANHAIYA LAL,JHUNJHUNU,1,BLD,M,RAJASTHAN,233734,368888,361578,681587,54.12
29.53,SHIV NATH SINGH,JHUNJHUNU,2,INC,M,RAJASTHAN,106783,368888,361578,681587,54.12
2.05,SATYEN BANSAL,JHUNJHUNU,3,IND,M,RAJASTHAN,7417,368888,361578,681587,54.12
1.39,MOOL CHAND GARVA,JHUNJHUNU,4,IND,M,RAJASTHAN,5010,368888,361578,681587,54.12
1.22,BHAGIRATH,JHUNJHUNU,5,IND,M,RAJASTHAN,4417,368888,361578,681587,54.12
1.17,BRIJ MOHAN LOYALKA,JHUNJHUNU,6,IND,M,RAJASTHAN,4217,368888,361578,681587,54.12
66.16,JAGDISH PRASAD MATHUR,SIKAR,1,BLD,M,RAJASTHAN,256672,398248,387962,675153,58.99
25.64,SHRI KISHAN,SIKAR,2,INC,M,RAJASTHAN,99479,398248,387962,675153,58.99
6.24,TRILOK SINGH,SIKAR,3,CPM,M,RAJASTHAN,24199,398248,387962,675153,58.99
1.96,TEJ SINGH,SIKAR,4,RRP,M,RAJASTHAN,7612,398248,387962,675153,58.99
70.93,SATISH CHANDER,JAIPUR,1,BLD,M,RAJASTHAN,249367,357974,351569,610124,58.67
17.03,JANARDAN SINGH,JAIPUR,2,INC,M,RAJASTHAN,59885,357974,351569,610124,58.67
7.6,MOINUDDIN,JAIPUR,3,MUL,M,RAJASTHAN,26720,357974,351569,610124,58.67
2.14,MOHAN PUNMIYA,JAIPUR,4,CPM,M,RAJASTHAN,7527,357974,351569,610124,58.67
0.66,RAM NARAIN,JAIPUR,5,IND,M,RAJASTHAN,2310,357974,351569,610124,58.67
0.6,RAMU (SHAHARIYA) ALIAS RAMESHWAR PRASAD MEENA,JAIPUR,6,IND,M,RAJASTHAN,2115,357974,351569,610124,58.67
0.49,PREM CHAND,JAIPUR,7,IND,M,RAJASTHAN,1731,357974,351569,610124,58.67
0.32,LAXMI NARAYAN KALAL SETHI,JAIPUR,8,IND,M,RAJASTHAN,1131,357974,351569,610124,58.67
